time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,5/2/2019 16:46,-3.251866988,-72.90721701,0,420.4985988,0,0,15,5,0,420.4985988,0,0,0,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
100,5/2/2019 16:46,-3.251866979,-72.90721707,0,420.4985988,0,0.022417914,15,5,0,420.4985988,0,0,0.022417914,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
200,5/2/2019 16:46,-3.251866844,-72.90721696,0,420.4985988,0,0.05539075,15,5,0,420.4985988,0,0,0.05539075,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
300,5/2/2019 16:46,-3.251866822,-72.90721701,0,420.4985988,0,0.060613519,15,5,0,420.4985988,0,0,0.060613519,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
400,5/2/2019 16:46,-3.251866857,-72.90721707,0,420.4985988,0,0.052503939,15,5,0,420.4985988,0,0,0.060613519,0,0,0,348.8,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
500,5/2/2019 16:46,-3.251866839,-72.90721712,0,420.4985988,0,0.067083664,15,5,0,420.4985988,0,0,0.067083664,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
600,5/2/2019 16:46,-3.25186687,-72.90721703,0,420.4985988,0,0.043585303,15,5,0,420.4985988,0,0,0.067083664,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
700,5/2/2019 16:46,-3.251866855,-72.90721706,0,420.4985988,0,0.05219554,15,5,0,420.4985988,0,0,0.067083664,0,0,0,348.8,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 21. Setting new Maximum Flight Altitude to 300m (984 ft)
800,5/2/2019 16:46,-3.251866881,-72.90721714,0,420.4985988,0,0.061266406,16,5,0,420.4985988,0,0,0.067083664,0,0,0,348.8,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
900,5/2/2019 16:46,-3.251866869,-72.90721718,0,420.4985988,0,0.075177168,16,5,0,420.4985988,0,0,0.075177168,0,0,0,348.8,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
1000,5/2/2019 16:46,-3.251866744,-72.9072171,0,420.4985988,0,0.095523953,15,5,0,420.4985988,0,0,0.095523953,0,0,0,348.8,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
1100,5/2/2019 16:46,-3.25186672,-72.90721713,0,420.4985988,0,0.107314964,15,5,0,420.4985988,0,0,0.107314964,0,0,0,348.8,2.1,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,0,92.12,420.4985988,0,41,Motors_Started,
1200,5/2/2019 16:46,-3.251866758,-72.90721722,0,420.4985988,0,0.113138783,15,5,17.197,420.4985988,0,0,0.113138783,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,2.194,92.12,420.4985988,0,11,AutoTakeoff,
1300,5/2/2019 16:46,-3.251866739,-72.90721725,0,420.4985988,0,0.125935043,15,5,17.197,420.4985988,0,0,0.125935043,0,0,0,348.8,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,2.194,92.12,420.4985988,0,11,AutoTakeoff,
1400,5/2/2019 16:46,-3.251866771,-72.90721733,0,420.4985988,0,0.140626645,15,5,17.197,420.4985988,0,0,0.140626645,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,2.194,92.12,420.4985988,0,11,AutoTakeoff,
1500,5/2/2019 16:46,-3.251866756,-72.90721737,0,420.4985988,0,0.154394034,15,5,17.197,420.4985988,0,0,0.154394034,0,0,0,348.7,2.2,-0.6,0,0,1024,1024,1024,1024,348.7,0,97,4.311,4.302,4.291,4.294,0,0,2.194,92.12,420.4985988,0,11,AutoTakeoff,
