time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,5/2/2019 19:26,-3.251885393,-72.90724194,0,420.3573245,0,0,16,5,0,420.3573245,0,0,0,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
100,5/2/2019 19:26,-3.251885406,-72.90724199,0,420.3573245,0,0.018568537,16,5,0,420.3573245,0,0,0.018568537,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
200,5/2/2019 19:26,-3.251885524,-72.90724204,0,420.3573245,0,0.058497705,16,5,0,420.3573245,0,0,0.058497705,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
300,5/2/2019 19:26,-3.251885547,-72.90724208,0,420.3573245,0,0.076163716,16,5,0,420.3573245,0,0,0.076163716,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 22. Setting new Maximum Flight Altitude to 300m (984 ft)
400,5/2/2019 19:26,-3.251885499,-72.90724212,0,420.3573245,0,0.076339897,16,5,0,420.3573245,0,0,0.076339897,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
500,5/2/2019 19:26,-3.251885516,-72.90724217,0,420.3573245,0,0.09357251,16,5,0,420.3573245,0,0,0.09357251,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
600,5/2/2019 19:26,-3.251885482,-72.90724222,0,420.3573245,0,0.106525266,16,5,0,420.3573245,0,0,0.106525266,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
700,5/2/2019 19:26,-3.251885493,-72.90724226,0,420.3573245,0,0.122521329,16,5,0,420.3573245,0,0,0.122521329,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
800,5/2/2019 19:26,-3.25188561,-72.90724232,0,420.3573245,0,0.157291016,16,5,0,420.3573245,0,0,0.157291016,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,0,90.68,420.3573245,0,41,Motors_Started,
900,5/2/2019 19:26,-3.251885632,-72.90724236,0,420.3573245,0,0.174054139,16,5,17.267,420.3573245,0,0,0.174054139,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,41,Motors_Started,
1000,5/2/2019 19:26,-3.251885591,-72.90724227,0,420.3573245,0,0.138321199,16,5,17.267,420.3573245,0,0,0.174054139,0,0,0,352.8,2.6,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,41,Motors_Started,
1100,5/2/2019 19:26,-3.251885608,-72.90724229,0,420.3573245,0,0.149301514,16,5,17.267,420.3573245,0,0,0.174054139,0,0,0,352.7,2.5,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,41,Motors_Started,
1200,5/2/2019 19:26,-3.251885716,-72.90724237,0,420.3573245,0,0.194493773,16,5,17.267,420.3573245,0,0,0.194493773,0,0,0,352.6,2.5,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1300,5/2/2019 19:26,-3.251885733,-72.9072424,0,420.3573245,0,0.207153878,16,5,17.267,420.3573245,0,0,0.207153878,0,0,0,352.5,2.4,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1400,5/2/2019 19:26,-3.25188569,-72.90724248,0,420.3573245,0,0.224732947,16,5,17.267,420.3573245,0,0,0.224732947,0,0,0,352.4,2.5,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1500,5/2/2019 19:26,-3.251885707,-72.90724252,0,420.3573245,0,0.237996399,16,5,17.267,420.3573245,0,0,0.237996399,0,0,0,352.5,2.4,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1600,5/2/2019 19:26,-3.251885685,-72.90724259,0,420.3573245,0,0.259881898,16,5,17.267,420.3573245,0,0,0.259881898,0,0,0,352.5,2.4,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1700,5/2/2019 19:26,-3.251885699,-72.90724263,0,420.3573245,0,0.274000665,16,5,17.267,420.3573245,0,0,0.274000665,0,0,0,352.5,2.4,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1800,5/2/2019 19:26,-3.251885811,-72.9072427,0,420.3573245,0,0.315914052,16,5,17.267,420.3573245,0,0,0.315914052,0,0,0,352.3,2.2,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
1900,5/2/2019 19:26,-3.251885829,-72.90724274,0,420.3573245,0,0.329767071,16,5,17.267,420.3573245,0,0,0.329767071,0,0,0,352,-0.9,-0.5,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.315,4.318,4.32,0,0,4.887,90.68,420.3573245,0,11,AutoTakeoff,
2000,5/2/2019 19:26,-3.251885767,-72.90724266,0,420.3573245,0,0.293729668,16,5,17.259,420.3573245,0,0,0.329767071,0,0,-0.223694,352.5,-5,-0.4,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,420.3573245,0,11,AutoTakeoff,
2100,5/2/2019 19:26,-3.251885697,-72.90724269,0,420.3573245,0.223694,0.295336296,16,5,17.259,420.3573245,0,0.223694,0.329767071,0.223694,0,-0.447388,352.7,-3.5,0.1,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,420.3573245,0,11,AutoTakeoff,
2200,5/2/2019 19:26,-3.251885527,-72.9072428,0,420.3573245,0.223694,0.31597606,16,5,17.259,420.3573245,0,0.223694,0.329767071,0.223694,0,-0.894776,352.6,-0.1,0.2,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,420.3573245,0,11,AutoTakeoff,
2300,5/2/2019 19:26,-3.251885375,-72.90724283,0.328084,420.6854085,0.223694,0.324281178,16,5,17.259,420.6854085,0.328084,0.223694,0.329767071,0.223694,0,-0.894776,352.6,1.8,0.2,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,420.6854085,0.328084,11,AutoTakeoff,
2400,5/2/2019 19:26,-3.251885223,-72.90724289,0.328084,420.6854085,0.223694,0.349701455,16,5,17.259,420.6854085,0.328084,0.223694,0.349701455,0.223694,0,-0.894776,352.4,2,0,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,420.6854085,0.328084,11,AutoTakeoff,Home Point Recorded. RTH Altitude:  30m.
2500,5/2/2019 19:26,-3.251885111,-72.90724288,0.328084,420.6854085,0.223694,0.357224421,16,5,17.259,420.6854085,0.328084,0.223694,0.357224421,0.223694,0,-0.894776,352.5,1.7,-0.4,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,420.6854085,0.328084,11,AutoTakeoff,
2600,5/2/2019 19:26,-3.251884981,-72.90724303,0.656168,421.0134925,0.223694,0.422119436,16,5,17.259,421.0134925,0.656168,0.223694,0.422119436,0.223694,0,-0.894776,352.4,2,-0.9,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,421.0134925,0.656168,11,AutoTakeoff,
2700,5/2/2019 19:26,-3.251884901,-72.90724302,0.656168,421.0134925,0,0.430213268,16,5,17.259,421.0134925,0.656168,0.223694,0.430213268,0,0,-0.894776,352.5,1.7,-1.6,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,421.0134925,0.656168,11,AutoTakeoff,
2800,5/2/2019 19:26,-3.251885207,-72.90724281,0.984252,421.3415765,0,0.321713265,16,5,17.259,421.3415765,0.984252,0.223694,0.430213268,0,0,-0.894776,352.4,1.6,-2.1,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,421.3415765,0.984252,11,AutoTakeoff,
2900,5/2/2019 19:26,-3.251885192,-72.90724279,0.984252,421.3415765,0,0.317423239,16,5,17.259,421.3415765,0.984252,0.223694,0.430213268,0,0,-0.894776,352.5,1.3,-2.3,0,0,1024,1024,1024,1024,352.9,0,99,4.314,4.314,4.315,4.315,0,0,4.475,90.86,421.3415765,0.984252,11,AutoTakeoff,
3000,5/2/2019 19:26,-3.251885064,-72.90724272,1.312336,421.6696605,0,0.306773304,16,5,17.156,421.6696605,1.312336,0.223694,0.430213268,0,0,-0.894776,352.5,1.2,-2.1,0,0,1024,1024,1024,1024,352.9,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,421.6696605,1.312336,11,AutoTakeoff,
3100,5/2/2019 19:26,-3.25188506,-72.90724274,1.312336,421.6696605,0,0.314443252,16,5,17.156,421.6696605,1.312336,0.223694,0.430213268,0,0,-0.894776,352.5,1.6,-0.9,0,0,1024,1024,1024,1024,352.9,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,421.6696605,1.312336,11,AutoTakeoff,
3200,5/2/2019 19:26,-3.251885302,-72.9072427,1.64042,421.9977445,0,0.278160114,16,5,17.156,421.9977445,1.64042,0.223694,0.430213268,0,0,-0.894776,352.5,1.4,-0.6,0,0,1024,1024,1024,1024,352.9,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,421.9977445,1.64042,11,AutoTakeoff,
3300,5/2/2019 19:26,-3.25188533,-72.90724272,1.64042,421.9977445,0,0.28361976,16,5,17.156,421.9977445,1.64042,0.223694,0.430213268,0,0,-0.894776,352.6,1.6,-0.2,0,0,1024,1024,1024,1024,352.9,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,421.9977445,1.64042,11,AutoTakeoff,
3400,5/2/2019 19:26,-3.251885192,-72.90724244,1.968504,422.3258285,0,0.194691935,16,5,17.156,422.3258285,1.968504,0.223694,0.430213268,0,0,-0.894776,352.6,1.7,-0.1,0,0,1024,1024,1024,1024,352.9,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,422.3258285,1.968504,11,AutoTakeoff,
3500,5/2/2019 19:26,-3.251885223,-72.9072424,1.968504,422.3258285,0,0.179246069,16,5,17.156,422.3258285,1.968504,0.223694,0.430213268,0,0,-0.894776,352.6,1.7,-0.7,0,0,1024,1024,1024,1024,352.9,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,422.3258285,1.968504,11,AutoTakeoff,
3600,5/2/2019 19:26,-3.251885378,-72.9072421,2.296588,422.6539125,0,0.0562418,16,5,17.156,422.6539125,2.296588,0.223694,0.430213268,0,0,-1.11847,352.7,1.3,-0.6,0,0,1024,1024,1024,1024,352.8,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,422.6539125,2.296588,11,AutoTakeoff,
3700,5/2/2019 19:26,-3.251885435,-72.90724202,2.296588,422.6539125,0,0.030379529,16,5,17.156,422.6539125,2.296588,0.223694,0.430213268,0,0,-1.11847,352.6,0.9,-1.1,0,0,1024,1024,1024,1024,352.8,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,422.6539125,2.296588,11,AutoTakeoff,
3800,5/2/2019 19:26,-3.251885532,-72.90724192,2.624672,422.9819965,0,0.051290684,16,5,17.156,422.9819965,2.624672,0.223694,0.430213268,0,0,-1.11847,352.5,0.9,-0.9,0,0,1024,1024,1024,1024,352.8,0,99,4.286,4.288,4.29,4.293,0,0,7.031,90.86,422.9819965,2.624672,11,AutoTakeoff,
