time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,5/2/2019 19:55,-3.251880546,-72.90723029,0,420.3984252,0,0,16,5,0,420.3984252,0,0,0,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.6,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
100,5/2/2019 19:55,-3.251880371,-72.90723032,0,420.3984252,0,0.064904202,16,5,0,420.3984252,0,0,0.064904202,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.6,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
200,5/2/2019 19:55,-3.25188037,-72.9072303,0,420.3984252,0,0.064571196,16,5,0,420.3984252,0,0,0.064904202,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
300,5/2/2019 19:55,-3.251880369,-72.90723032,0,420.3984252,0,0.066106301,16,5,0,420.3984252,0,0,0.066106301,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
400,5/2/2019 19:55,-3.251880365,-72.90723031,0,420.3984252,0,0.066850724,16,5,0,420.3984252,0,0,0.066850724,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
500,5/2/2019 19:55,-3.251880513,-72.90723033,0,420.3984252,0,0.019812796,16,5,0,420.3984252,0,0,0.066850724,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
600,5/2/2019 19:55,-3.251880523,-72.90723032,0,420.3984252,0,0.013805742,16,5,0,420.3984252,0,0,0.066850724,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
700,5/2/2019 19:55,-3.251880356,-72.90723019,0,420.3984252,0,0.078735895,16,5,0,420.3984252,0,0,0.078735895,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
800,5/2/2019 19:55,-3.251880349,-72.90723016,0,420.3984252,0,0.085568244,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 23. Setting new Maximum Flight Altitude to 300m (984 ft)
900,5/2/2019 19:55,-3.251880354,-72.9072302,0,420.3984252,0,0.077420278,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
1000,5/2/2019 19:55,-3.25188035,-72.90723018,0,420.3984252,0,0.082570541,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
1100,5/2/2019 19:55,-3.251880364,-72.90723021,0,420.3984252,0,0.072660435,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.9,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,41,Motors_Started,
1200,5/2/2019 19:55,-3.251880357,-72.90723019,0,420.3984252,0,0.078203086,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.6,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,11,AutoTakeoff,
1300,5/2/2019 19:55,-3.251880361,-72.90723022,0,420.3984252,0,0.071795606,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.3,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,11,AutoTakeoff,
1400,5/2/2019 19:55,-3.251880359,-72.90723021,0,420.3984252,0,0.074548887,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.3,1.8,-0.5,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,11,AutoTakeoff,
1500,5/2/2019 19:55,-3.251880364,-72.90723024,0,420.3984252,0,0.06934449,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.4,1.8,-0.5,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,11,AutoTakeoff,
1600,5/2/2019 19:55,-3.251880363,-72.90723022,0,420.3984252,0,0.071064963,16,5,0,420.3984252,0,0,0.085568244,0,0,0,343.5,1.8,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,0,93.02,420.3984252,0,11,AutoTakeoff,
1700,5/2/2019 19:55,-3.251880225,-72.90723023,0,420.3984252,0,0.119119426,16,5,17.416,420.3984252,0,0,0.119119426,0,0,0,343.1,1.7,-0.6,0,0,1024,1024,1024,1024,344.5,0,100,4.37,4.357,4.341,4.347,0,0,4.284,93.02,420.3984252,0,11,AutoTakeoff,
